Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type,class
IPv4,60,UDP,192.168.1.4,192.168.1.5,18234,16708,UDP,0,0xf405,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18235,16709,UDP,0,0xf403,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18236,16710,UDP,0,0xf401,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18237,16711,UDP,0,0xf3ff,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18238,16712,UDP,0,0xf3fd,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18239,16713,UDP,0,0xf3fb,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18240,16714,UDP,0,0xf3f9,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18241,16715,UDP,0,0xf3f7,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18242,16716,UDP,0,0xf3f5,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18243,16717,UDP,0,0xf3f3,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18244,16718,UDP,0,0xf3f1,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18245,16719,UDP,0,0xf3ef,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18246,16720,UDP,0,0xf3ed,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18247,16721,UDP,0,0xf3eb,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18248,16722,UDP,0,0xf3e9,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18249,16723,UDP,0,0xf3e7,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18250,16724,UDP,0,0xf3e5,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18251,16725,UDP,0,0xf3e3,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18252,16726,UDP,0,0xf3e1,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18253,16727,UDP,0,0xf3df,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18254,16728,UDP,0,0xf3dd,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18255,16729,UDP,0,0xf3db,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18256,16730,UDP,0,0xf3d9,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18257,16731,UDP,0,0xf3d7,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18258,16732,UDP,0,0xf3d5,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18259,16733,UDP,0,0xf3d3,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18260,16734,UDP,0,0xf3d1,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18261,16735,UDP,0,0xf3cf,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18262,16736,UDP,0,0xf3cd,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18263,16737,UDP,0,0xf3cb,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18264,16738,UDP,0,0xf3c9,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18265,16739,UDP,0,0xf3c7,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18266,16740,UDP,0,0xf3c5,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18267,16741,UDP,0,0xf3c3,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18268,16742,UDP,0,0xf3c1,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18269,16743,UDP,0,0xf3bf,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18270,16744,UDP,0,0xf3bd,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18271,16745,UDP,0,0xf3bb,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18272,16746,UDP,0,0xf3b9,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18273,16747,UDP,0,0xf3b7,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18274,16748,UDP,0,0xf3b5,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18275,16749,UDP,0,0xf3b3,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18276,16750,UDP,0,0xf3b1,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18277,16751,UDP,0,0xf3af,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18278,16752,UDP,0,0xf3ad,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18279,16753,UDP,0,0xf3ab,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18280,16754,UDP,0,0xf3a9,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18281,16755,UDP,0,0xf3a7,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18282,16756,UDP,0,0xf3a5,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18283,16757,UDP,0,0xf3a3,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18284,16758,UDP,0,0xf3a1,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18285,16759,UDP,0,0xf39f,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18286,16760,UDP,0,0xf39d,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18287,16761,UDP,0,0xf39b,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18288,16762,UDP,0,0xf399,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18289,16763,UDP,0,0xf397,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18290,16764,UDP,0,0xf395,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18291,16765,UDP,0,0xf393,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18292,16766,UDP,0,0xf391,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18293,16767,UDP,0,0xf38f,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18294,16768,UDP,0,0xf38d,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18295,16769,UDP,0,0xf38b,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18296,16770,UDP,0,0xf389,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18297,16771,UDP,0,0xf387,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18298,16772,UDP,0,0xf385,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18299,16773,UDP,0,0xf383,0,0,anomaly
IPv4,60,UDP,192.168.1.4,192.168.1.5,18300,16774,UDP,0,0xf381,0,0,anomaly
